# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI), http://projects.knmi.nl/klimatologie/daggegevens/selectie.cgi
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
#
# STN,YYYYMMDD,   RH
  260,19940101,    4
  260,19940102,  133
  260,19940103,   84
  260,19940104,   32
  260,19940105,   84
  260,19940106,   50
  260,19940107,    0
  260,19940108,    0
  260,19940109,    0
  260,19940110,   -1
  260,19940111,   15
  260,19940112,   84
  260,19940113,   25
  260,19940114,   42
  260,19940115,   -1
  260,19940116,   -1
  260,19940117,   -1
  260,19940118,    0
  260,19940119,   45
  260,19940120,    0
  260,19940121,   -1
  260,19940122,   29
  260,19940123,  191
  260,19940124,   -1
  260,19940125,   72
  260,19940126,   26
  260,19940127,   74
  260,19940128,    9
  260,19940129,   11
  260,19940130,   16
  260,19940131,    0
  260,19940201,   20
  260,19940202,    0
  260,19940203,   24
  260,19940204,   -1
  260,19940205,   -1
  260,19940206,   -1
  260,19940207,   19
  260,19940208,    3
  260,19940209,    9
  260,19940210,   27
  260,19940211,    0
  260,19940212,   -1
  260,19940213,   -1
  260,19940214,    0
  260,19940215,    0
  260,19940216,    0
  260,19940217,    0
  260,19940218,    0
  260,19940219,    0
  260,19940220,    0
  260,19940221,   -1
  260,19940222,    5
  260,19940223,    3
  260,19940224,   36
  260,19940225,    0
  260,19940226,    0
  260,19940227,   38
  260,19940228,   75
  260,19940301,    6
  260,19940302,   55
  260,19940303,   72
  260,19940304,    0
  260,19940305,    8
  260,19940306,    0
  260,19940307,    7
  260,19940308,   -1
  260,19940309,    3
  260,19940310,   -1
  260,19940311,    0
  260,19940312,    4
  260,19940313,   47
  260,19940314,    4
  260,19940315,  150
  260,19940316,    4
  260,19940317,    5
  260,19940318,  176
  260,19940319,   59
  260,19940320,    0
  260,19940321,    0
  260,19940322,   28
  260,19940323,    1
  260,19940324,   19
  260,19940325,  204
  260,19940326,    7
  260,19940327,    0
  260,19940328,    8
  260,19940329,    0
  260,19940330,    0
  260,19940331,   47
  260,19940401,  126
  260,19940402,   31
  260,19940403,    8
  260,19940404,  241
  260,19940405,   12
  260,19940406,   10
  260,19940407,   17
  260,19940408,   58
  260,19940409,   48
  260,19940410,   13
  260,19940411,    0
  260,19940412,   -1
  260,19940413,   -1
  260,19940414,   30
  260,19940415,   35
  260,19940416,    0
  260,19940417,   -1
  260,19940418,    0
  260,19940419,    0
  260,19940420,   -1
  260,19940421,   -1
  260,19940422,    0
  260,19940423,    0
  260,19940424,   13
  260,19940425,    5
  260,19940426,   19
  260,19940427,    8
  260,19940428,   -1
  260,19940429,    0
  260,19940430,    0
  260,19940501,    0
  260,19940502,    0
  260,19940503,    0
  260,19940504,   13
  260,19940505,    4
  260,19940506,  122
  260,19940507,    0
  260,19940508,   22
  260,19940509,   -1
  260,19940510,    0
  260,19940511,    0
  260,19940512,    0
  260,19940513,    0
  260,19940514,   13
  260,19940515,   68
  260,19940516,   13
  260,19940517,  104
  260,19940518,    0
  260,19940519,    0
  260,19940520,  186
  260,19940521,   80
  260,19940522,   49
  260,19940523,    0
  260,19940524,    2
  260,19940525,   48
  260,19940526,    4
  260,19940527,    4
  260,19940528,  103
  260,19940529,   -1
  260,19940530,    0
  260,19940531,    0
  260,19940601,    0
  260,19940602,   77
  260,19940603,   80
  260,19940604,  247
  260,19940605,    3
  260,19940606,   32
  260,19940607,    2
  260,19940608,   77
  260,19940609,   62
  260,19940610,   34
  260,19940611,   10
  260,19940612,    0
  260,19940613,    0
  260,19940614,    0
  260,19940615,    0
  260,19940616,   26
  260,19940617,   -1
  260,19940618,    0
  260,19940619,   -1
  260,19940620,    4
  260,19940621,    5
  260,19940622,    2
  260,19940623,    0
  260,19940624,    0
  260,19940625,   28
  260,19940626,    0
  260,19940627,   -1
  260,19940628,    0
  260,19940629,   -1
  260,19940630,    0
  260,19940701,    0
  260,19940702,    0
  260,19940703,    0
  260,19940704,   -1
  260,19940705,   -1
  260,19940706,    0
  260,19940707,   71
  260,19940708,   -1
  260,19940709,    0
  260,19940710,    0
  260,19940711,    0
  260,19940712,    0
  260,19940713,    0
  260,19940714,   89
  260,19940715,    0
  260,19940716,    0
  260,19940717,    0
  260,19940718,    0
  260,19940719,    0
  260,19940720,    0
  260,19940721,    0
  260,19940722,    0
  260,19940723,    0
  260,19940724,   -1
  260,19940725,    8
  260,19940726,    0
  260,19940727,   -1
  260,19940728,    4
  260,19940729,    0
  260,19940730,    0
  260,19940731,  325
  260,19940801,  294
  260,19940802,    0
  260,19940803,    0
  260,19940804,    0
  260,19940805,   -1
  260,19940806,    0
  260,19940807,    0
  260,19940808,    0
  260,19940809,    0
  260,19940810,   22
  260,19940811,   43
  260,19940812,   37
  260,19940813,   -1
  260,19940814,    0
  260,19940815,   -1
  260,19940816,    0
  260,19940817,  196
  260,19940818,  133
  260,19940819,   -1
  260,19940820,   -1
  260,19940821,    0
  260,19940822,    0
  260,19940823,   -1
  260,19940824,   34
  260,19940825,    1
  260,19940826,   13
  260,19940827,   24
  260,19940828,   -1
  260,19940829,   45
  260,19940830,   30
  260,19940831,   15
  260,19940901,   23
  260,19940902,   21
  260,19940903,  129
  260,19940904,   39
  260,19940905,   87
  260,19940906,    7
  260,19940907,    3
  260,19940908,   65
  260,19940909,   28
  260,19940910,  115
  260,19940911,   62
  260,19940912,  121
  260,19940913,    0
  260,19940914,  213
  260,19940915,  159
  260,19940916,  132
  260,19940917,  129
  260,19940918,   27
  260,19940919,   28
  260,19940920,  149
  260,19940921,    0
  260,19940922,    0
  260,19940923,    0
  260,19940924,    8
  260,19940925,    0
  260,19940926,    0
  260,19940927,   -1
  260,19940928,    0
  260,19940929,   -1
  260,19940930,    0
  260,19941001,   30
  260,19941002,   23
  260,19941003,  248
  260,19941004,   94
  260,19941005,   24
  260,19941006,   -1
  260,19941007,    0
  260,19941008,    4
  260,19941009,    0
  260,19941010,    0
  260,19941011,    0
  260,19941012,    0
  260,19941013,    0
  260,19941014,    0
  260,19941015,    0
  260,19941016,   -1
  260,19941017,    0
  260,19941018,    0
  260,19941019,    0
  260,19941020,    0
  260,19941021,   -1
  260,19941022,   65
  260,19941023,   47
  260,19941024,   10
  260,19941025,   66
  260,19941026,  220
  260,19941027,   17
  260,19941028,   34
  260,19941029,   64
  260,19941030,  247
  260,19941031,  121
  260,19941101,   -1
  260,19941102,    0
  260,19941103,    0
  260,19941104,   -1
  260,19941105,    0
  260,19941106,   -1
  260,19941107,    9
  260,19941108,    0
  260,19941109,    4
  260,19941110,   41
  260,19941111,   28
  260,19941112,    7
  260,19941113,   30
  260,19941114,  112
  260,19941115,    9
  260,19941116,   -1
  260,19941117,   30
  260,19941118,   22
  260,19941119,   12
  260,19941120,   29
  260,19941121,    0
  260,19941122,    0
  260,19941123,   -1
  260,19941124,    7
  260,19941125,   -1
  260,19941126,   14
  260,19941127,    1
  260,19941128,    0
  260,19941129,    0
  260,19941130,    0
  260,19941201,    0
  260,19941202,    0
  260,19941203,   25
  260,19941204,   14
  260,19941205,   12
  260,19941206,   -1
  260,19941207,   25
  260,19941208,  140
  260,19941209,   34
  260,19941210,   27
  260,19941211,    0
  260,19941212,    0
  260,19941213,   97
  260,19941214,    5
  260,19941215,    0
  260,19941216,    4
  260,19941217,    2
  260,19941218,   23
  260,19941219,    6
  260,19941220,    1
  260,19941221,   15
  260,19941222,    0
  260,19941223,    0
  260,19941224,    0
  260,19941225,   27
  260,19941226,   81
  260,19941227,  371
  260,19941228,  100
  260,19941229,  119
  260,19941230,   85
  260,19941231,   44
